,id,article_id,evidence_type
0,mi0599,0,t2t
1,mi0599,1,t2t
2,mi0599,6,t2t
3,mi0599,8,t2t
4,mi0599,6,i2t
5,mi4791,1,t2t
6,mi4791,0,i2t
7,fa3027,0,t2t
8,fa3027,2,t2t
9,fa3027,9,t2t
10,fa3027,0,i2t
11,fa3027,9,i2t
12,fa1398,2,i2t
13,mi3188,4,t2t
14,mi3188,5,t2t
15,mi3188,7,t2t
16,mi3188,8,t2t
17,mi3188,9,t2t
18,mi3188,1,i2t
19,fa4068,0,t2t
20,fa4068,2,t2t
21,fa4068,4,t2t
22,fa4068,5,t2t
23,fa4068,6,t2t
24,fa4068,8,t2t
25,fa4068,1,i2t
26,fa4068,3,i2t
27,fa4068,4,i2t
28,fa2991,0,t2t
29,fa2991,3,t2t
30,fa2991,5,t2t
31,fa2991,6,t2t
32,fa2991,1,i2t
33,fa2991,2,i2t
34,fa2991,5,i2t
35,fa0760,0,i2t
36,fa3083,0,t2t
37,fa3083,4,t2t
38,fa3083,6,t2t
39,fa3083,8,t2t
40,fa3083,0,i2t
41,fa3083,4,i2t
42,fa0590,0,t2t
43,mi3662,0,t2t
44,fa4314,5,t2t
45,fa4314,9,t2t
46,fa4314,5,i2t
47,fa4314,7,i2t
48,mi3923,0,t2t
49,mi3923,1,t2t
50,mi3923,3,t2t
51,mi3923,4,t2t
52,mi3923,5,t2t
53,mi3923,6,t2t
54,mi3923,8,t2t
55,mi3923,9,t2t
56,mi3923,6,i2t
57,mi3923,7,i2t
58,fa0165,4,t2t
59,mi5059,3,t2t
60,mi5059,9,t2t
61,fa1329,1,t2t
62,fa1329,2,t2t
63,fa1329,3,t2t
64,fa1329,4,t2t
65,fa1329,5,t2t
66,fa1329,6,t2t
67,fa1329,7,t2t
68,fa1329,8,t2t
69,fa1329,9,t2t
70,fa1329,0,i2t
71,fa1329,1,i2t
72,fa1329,5,i2t
73,fa1329,9,i2t
74,mi3699,2,t2t
75,mi3699,3,t2t
76,mi3699,5,t2t
77,mi3699,6,t2t
78,mi3699,9,t2t
79,mi3733,0,t2t
80,mi3733,2,t2t
81,mi3733,3,t2t
82,mi3733,4,t2t
83,mi3733,7,t2t
84,mi3733,9,t2t
85,mi3733,0,i2t
86,mi3733,3,i2t
87,mi3733,5,i2t
88,mi0378,0,t2t
89,mi0378,3,t2t
90,mi0378,5,t2t
91,mi0378,6,t2t
92,mi0378,7,t2t
93,mi0378,8,t2t
94,mi0378,5,i2t
95,mi0378,8,i2t
96,fa3909,7,t2t
97,fa3909,8,t2t
98,fa3909,3,i2t
99,fa0549,1,t2t
100,fa0549,2,t2t
101,fa0549,4,t2t
102,fa0549,5,t2t
103,fa0549,6,t2t
104,fa0549,7,t2t
105,fa2961,0,t2t
106,fa2961,5,t2t
107,fa2961,6,t2t
108,fa2961,7,t2t
109,fa3421,0,t2t
110,fa3421,4,t2t
111,fa3887,2,t2t
112,fa3887,4,t2t
113,fa3887,6,t2t
114,mi5055,0,t2t
115,mi5055,3,t2t
116,mi5055,5,t2t
117,mi5055,7,t2t
118,mi5055,8,t2t
119,mi5055,0,i2t
120,mi5055,7,i2t
121,mi2381,0,t2t
122,mi2381,1,t2t
123,mi2381,2,t2t
124,mi2381,3,t2t
125,mi2381,4,t2t
126,mi2381,7,t2t
127,mi2381,8,t2t
128,mi3946,1,t2t
129,mi3946,3,t2t
130,mi3946,9,t2t
131,fa1702,0,t2t
132,fa1702,1,t2t
133,fa1702,3,t2t
134,fa1702,4,t2t
135,fa1702,5,t2t
136,fa1702,7,t2t
137,fa1702,8,t2t
138,fa1702,9,t2t
139,fa1702,1,i2t
140,fa2005,1,t2t
141,fa2005,2,t2t
142,fa2005,3,t2t
143,fa2005,4,t2t
144,fa2005,5,t2t
145,fa2005,5,i2t
146,mi0569,2,t2t
